ip,port,ttl
156.17.10.51,22,236
195.113.161.13,22,50
128.112.139.19,22,239
131.246.19.202,22,238
193.157.115.250,22,237
193.146.210.245,22,52
193.146.210.244,22,238
130.206.158.140,22,237
193.166.167.4,22,235
130.79.48.57,22,239
138.246.253.1,22,54
193.226.19.30,22,242
195.113.161.14,22,48
194.29.178.14,22,47
128.223.8.112,22,239
216.48.80.12,22,237
195.113.161.84,22,242
134.197.113.3,22,239
128.8.126.111,22,242
192.33.90.67,22,235
193.226.19.31,22,235
165.230.49.118,22,235
128.223.8.113,22,49
129.22.150.78,22,48
130.194.252.8,22,235
165.242.90.128,22,238
128.223.8.111,22,235
116.31.116.26,22,235
130.194.252.9,22,50
134.117.226.180,22,234
129.97.74.14,22,232
156.56.250.227,22,238
206.117.37.7,22,238
216.48.80.14,22,48
129.10.120.193,22,49
192.33.90.68,22,49
129.63.159.102,22,236
129.63.159.101,22,238
128.42.142.45,22,238
75.130.96.13,22,226
202.112.28.98,22,237
130.192.157.138,22,234
129.97.74.12,22,232
192.107.171.147,22,230
141.212.113.178,22,236
131.179.150.72,22,230
192.107.171.145,22,230
139.78.141.243,22,230
131.179.150.70,22,234
128.223.8.114,22,237
129.32.84.160,22,237
142.103.2.2,22,238
130.195.4.69,22,239
130.195.4.68,22,239
130.253.21.123,22,238
128.208.4.198,22,238
128.208.4.197,22,230
137.132.80.110,22,235
128.2.211.115,22,238
128.208.4.99,22,228
162.105.205.22,22,240
200.19.159.35,22,237
195.113.161.82,22,224
200.19.159.34,22,221
162.105.205.21,22,240
170.140.119.69,22,235
200.0.206.169,22,243
195.113.161.83,22,239
198.133.224.147,22,240
170.140.119.70,22,238
128.10.18.52,22,239
128.10.18.53,22,235
200.17.202.195,22,235
116.31.116.26,22,235
165.230.49.114,22,117
193.166.167.5,22,48
